Company,TypeName,Ram,Weight,Touchscreen,IPS,ppi,Cpu brand,HDD,SSD,Gpu brand,os
HP,Ultrabook,4,1.48,0,0,157.3505121487356,Intel Core i5,0,256,Intel,windows
Dell,Notebook,4,2.18,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,windows
Lenovo,Gaming,8,2.5,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,windows
HP,Notebook,4,2.1,0,0,141.21199808219862,Intel Core i3,1000,128,AMD,windows
Acer,2 in 1 Convertible,4,1.25,1,1,135.0942111925629,Other Intel Processor,0,0,Intel,Other/Linux/No OS
Lenovo,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Other/Linux/No OS
HP,Notebook,8,1.91,0,0,141.21199808219862,Intel Core i7,0,256,AMD,windows
Dell,Notebook,4,2.2,0,0,100.45466986113652,Other Intel Processor,500,0,Intel,windows
HP,Notebook,8,2.1,0,1,100.45466986113652,Intel Core i7,1000,0,Intel,windows
Acer,Notebook,4,3.0,0,1,127.33567457123112,Intel Core i3,0,256,Nvidia,windows
Acer,Notebook,4,2.1,0,0,100.45466986113652,Other Intel Processor,1000,0,Intel,windows
Asus,Gaming,8,2.591,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,windows
Asus,Gaming,16,3.6,0,0,127.33567457123112,Intel Core i7,0,256,Nvidia,windows
Toshiba,Ultrabook,32,1.05,1,0,165.6321180513006,Intel Core i7,0,512,Intel,windows
Lenovo,Gaming,16,2.5,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,windows
HP,Notebook,4,1.49,0,0,117.82653006268644,Intel Core i3,500,0,Intel,windows
Dell,Notebook,4,2.24,0,0,100.45466986113652,Intel Core i5,500,0,Intel,windows
Fujitsu,Notebook,4,2.3,0,0,100.45466986113652,Intel Core i5,0,256,Intel,windows
Asus,Gaming,24,4.33,1,1,127.33567457123112,Intel Core i7,1000,256,Nvidia,windows
Dell,Gaming,16,4.42,0,1,127.33567457123112,Intel Core i7,1000,256,Nvidia,windows
Asus,Gaming,24,2.24,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,windows
HP,Workstation,8,2.6,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,windows
HP,Notebook,8,1.84,0,0,141.21199808219862,Intel Core i5,0,256,Intel,windows
Dell,Gaming,8,2.56,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,windows
Asus,Notebook,8,2.3,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Other/Linux/No OS
Lenovo,Notebook,8,2.29,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,windows
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Other/Linux/No OS
Dell,Gaming,16,4.42,0,1,127.33567457123112,Intel Core i7,1000,128,Nvidia,windows
Dell,Notebook,8,2.36,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,windows
Lenovo,Notebook,2,1.5,0,0,111.93520355955212,Other Intel Processor,0,0,Intel,windows
Asus,Ultrabook,8,1.7,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,windows
Lenovo,Notebook,4,1.9,0,0,100.45466986113652,Other Intel Processor,0,128,Intel,Other/Linux/No OS
Asus,Gaming,8,1.99,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,windows
Dell,Ultrabook,16,1.88,0,0,141.21199808219862,Intel Core i7,0,768,Intel,windows
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i5,500,0,Intel,windows
Toshiba,Ultrabook,8,1.47,0,1,157.3505121487356,Intel Core i7,0,256,Intel,windows
Lenovo,Notebook,8,1.9,0,1,157.3505121487356,Intel Core i5,0,256,Intel,windows
MSI,Gaming,16,1.7,0,0,157.3505121487356,Intel Core i7,1000,256,Nvidia,windows
Lenovo,Notebook,8,3.0,0,0,106.11306214269258,Intel Core i5,1000,0,AMD,windows
Lenovo,Notebook,8,1.32,0,1,157.3505121487356,Intel Core i5,0,256,Intel,windows
Asus,Notebook,8,2.0,0,1,282.42399616439724,Intel Core i7,1000,256,Nvidia,windows
Asus,Gaming,8,2.73,0,1,127.33567457123112,Intel Core i5,1000,128,Nvidia,windows
Dell,Gaming,8,2.56,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,windows
HP,Notebook,4,1.32,0,1,165.6321180513006,Intel Core i5,0,256,Intel,windows
Dell,Ultrabook,8,1.5,0,0,125.36742798669836,Intel Core i5,0,256,Intel,windows
Asus,Gaming,16,4.0,0,1,127.33567457123112,Intel Core i7,1000,128,Nvidia,windows
Lenovo,Ultrabook,16,1.14,0,1,157.3505121487356,Intel Core i7,0,512,Intel,windows
Dell,Ultrabook,16,1.18,0,0,176.23257360658386,Intel Core i7,0,256,Intel,windows
HP,Ultrabook,8,1.84,0,0,141.21199808219862,Intel Core i7,0,256,Intel,windows
Dell,Notebook,4,2.18,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,windows
Acer,Notebook,4,2.4,0,0,100.45466986113652,Intel Core i3,500,0,Intel,Other/Linux/No OS
HP,Notebook,8,2.31,0,0,111.93520355955212,Intel Core i5,0,256,Intel,windows
Apple,Ultrabook,16,1.83,0,1,220.53462386625827,Intel Core i7,0,256,AMD,Mac
Acer,Notebook,4,2.1,0,0,100.45466986113652,AMD Processor,0,128,AMD,windows
Lenovo,Notebook,8,2.8,0,0,106.11306214269258,Intel Core i5,1000,0,Intel,Other/Linux/No OS
HP,2 in 1 Convertible,8,1.29,1,1,331.2642361026012,Intel Core i7,0,512,Intel,windows
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,0,256,AMD,windows
Lenovo,2 in 1 Convertible,8,1.7,1,0,157.3505121487356,Intel Core i5,0,256,Intel,windows
Asus,Gaming,16,2.99,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia,windows
HP,Notebook,8,1.91,0,0,100.45466986113652,Intel Core i5,0,256,Intel,windows
Dell,Gaming,16,4.42,0,1,169.78089942830815,Intel Core i7,1000,256,Nvidia,windows
Asus,Gaming,16,4.3,0,1,127.33567457123112,Intel Core i7,1000,256,Nvidia,windows
Lenovo,2 in 1 Convertible,8,2.0,1,1,141.21199808219862,Intel Core i7,0,512,Nvidia,windows
Acer,Notebook,4,2.1,0,0,100.45466986113652,AMD Processor,1000,0,AMD,windows
Dell,Ultrabook,8,1.88,0,1,141.21199808219862,Intel Core i5,0,256,Intel,windows
Dell,Ultrabook,8,1.23,1,0,276.053530085501,Intel Core i5,0,256,Intel,windows
Dell,Notebook,16,1.93,0,0,141.21199808219862,Intel Core i5,0,512,Intel,windows
Lenovo,Notebook,4,2.1,0,0,141.21199808219862,Intel Core i5,2000,0,Intel,windows
Lenovo,Notebook,4,1.85,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,windows
Toshiba,Notebook,8,2.2,0,0,100.45466986113652,Intel Core i5,0,256,Intel,windows
